Date,Open,High,Low,Close,Adj Close,Volume,SMA20,SMA30,SMA50,SMA100,signal,OpenInterest
2024-06-27,2296.800048828125,2329.0,2295.0,2324.5,2324.5,1532,2326.67998046875,2344.0766438802084,2339.9579833984376,2245.2929895019533,0,0.0
2024-06-28,2325.39990234375,2338.300048828125,2319.0,2327.699951171875,2327.699951171875,92,2325.9199829101562,2342.043310546875,2339.0779833984375,2248.3129895019533,0,0.0
2024-07-01,2323.800048828125,2329.699951171875,2321.699951171875,2327.60009765625,2327.60009765625,237,2326.154992675781,2340.2966471354166,2337.983984375,2251.2439904785156,0,0.0
2024-07-02,2330.699951171875,2334.60009765625,2323.0,2323.0,2323.0,30,2324.974987792969,2337.3233154296877,2336.475986328125,2254.121990966797,0,0.0
2024-07-03,2330.89990234375,2361.60009765625,2330.89990234375,2359.800048828125,2359.800048828125,59,2326.689990234375,2334.8533203125,2337.02798828125,2257.3979919433596,0,0.0
2024-07-05,2354.89990234375,2388.5,2354.89990234375,2388.5,2388.5,72,2328.4099853515627,2333.7466552734377,2338.2439892578127,2261.0499914550783,0,0.0
2024-07-08,2381.699951171875,2383.800048828125,2352.800048828125,2355.199951171875,2355.199951171875,64,2327.65498046875,2332.613321940104,2338.85798828125,2264.419991455078,0,0.0
2024-07-09,2363.10009765625,2363.699951171875,2360.10009765625,2360.10009765625,2360.10009765625,9,2330.3999877929687,2333.449991861979,2339.4639892578125,2268.0919921875,0,0.0
2024-07-10,2366.300048828125,2377.0,2365.800048828125,2372.199951171875,2372.199951171875,19,2333.6249877929686,2334.7733235677083,2340.2119873046877,2271.9109912109375,0,0.0
2024-07-11,2378.699951171875,2416.699951171875,2378.699951171875,2415.0,2415.0,72,2338.9999877929686,2336.7666585286456,2341.6039892578124,2276.039991455078,0,0.0
2024-07-12,2399.800048828125,2414.0,2391.300048828125,2414.0,2414.0,355,2342.8999877929687,2339.223323567708,2344.0559912109375,2280.064991455078,0,0.0
2024-07-15,2430.0,2436.0,2422.89990234375,2422.89990234375,2422.89990234375,540,2349.0349853515627,2341.889990234375,2346.5159912109375,2284.0189904785157,1,1.0
2024-07-16,2427.39990234375,2462.39990234375,2427.39990234375,2462.39990234375,2462.39990234375,93,2355.5849853515624,2346.539990234375,2349.779990234375,2288.419989013672,1,0.0
2024-07-17,2472.89990234375,2473.10009765625,2454.800048828125,2454.800048828125,2454.800048828125,10,2362.7049926757813,2350.1466552734373,2352.8959912109376,2292.7709899902343,1,0.0
2024-07-18,2466.0,2466.0,2451.800048828125,2451.800048828125,2451.800048828125,2,2368.775,2354.356656901042,2355.499990234375,2296.9029907226563,1,0.0
2024-07-19,2418.800048828125,2419.199951171875,2395.5,2395.5,2395.5,15,2370.859997558594,2355.7366536458335,2357.1059912109376,2300.5729907226564,1,0.0
2024-07-22,2402.10009765625,2402.10009765625,2392.0,2392.0,2392.0,18,2374.640002441406,2356.4599853515624,2358.6739892578125,2304.1529907226563,1,0.0
2024-07-23,2395.800048828125,2404.60009765625,2388.699951171875,2404.60009765625,2404.60009765625,41,2378.370007324219,2359.7733235677083,2360.1239892578124,2307.868991699219,1,0.0
2024-07-24,2421.0,2421.0,2411.60009765625,2413.300048828125,2413.300048828125,6,2383.2050048828123,2363.2933268229167,2361.0439892578124,2311.544992675781,1,0.0
2024-07-25,2365.5,2365.5,2351.89990234375,2351.89990234375,2351.89990234375,31,2385.8400024414063,2364.7733235677083,2361.3599853515625,2314.194992675781,1,0.0
2024-07-26,2368.699951171875,2386.89990234375,2368.699951171875,2380.0,2380.0,95,2388.6150024414064,2366.239990234375,2361.8919873046875,2316.8179931640625,1,0.0
2024-07-29,2377.300048828125,2377.300048828125,2377.300048828125,2377.300048828125,2377.300048828125,126409,2391.095007324219,2368.809993489583,2361.6639892578123,2319.255993652344,1,0.0
2024-07-30,2380.89990234375,2409.300048828125,2373.800048828125,2405.0,2405.0,25944,2394.9650024414063,2371.263330078125,2362.1639892578123,2321.8029931640626,1,0.0
2024-07-31,2407.10009765625,2447.60009765625,2402.800048828125,2426.5,2426.5,1313,2400.140002441406,2375.0666666666666,2362.449990234375,2324.4879931640626,1,0.0
2024-08-01,2446.699951171875,2455.10009765625,2430.39990234375,2435.0,2435.0,690,2403.9,2378.5533365885417,2362.4719921875,2327.0519921875,1,0.0
2024-08-02,2444.0,2477.0,2416.0,2425.699951171875,2425.699951171875,550,2405.7599975585936,2380.95,2362.5519921875,2329.4839916992187,1,0.0
2024-08-05,2442.0,2449.800048828125,2367.39990234375,2401.699951171875,2401.699951171875,334,2408.084997558594,2383.7933349609375,2362.8019921875,2331.8969921875,1,0.0
2024-08-06,2414.5,2421.800048828125,2380.0,2389.10009765625,2389.10009765625,163,2409.5349975585937,2385.7633382161457,2363.883994140625,2334.033994140625,1,0.0
2024-08-07,2392.199951171875,2401.0,2384.5,2390.5,2390.5,130,2410.45,2388.226668294271,2365.043994140625,2336.308994140625,1,0.0
2024-08-08,2384.300048828125,2422.800048828125,2384.300048828125,2422.199951171875,2422.199951171875,201,2410.8099975585938,2392.326668294271,2366.383994140625,2338.9579931640624,1,0.0
2024-08-09,2422.300048828125,2432.10009765625,2418.5,2432.10009765625,2432.10009765625,611,2411.7150024414063,2395.913338216146,2368.2199951171874,2341.6719946289063,1,0.0
2024-08-12,2432.699951171875,2469.800048828125,2432.0,2462.39990234375,2462.39990234375,566,2413.6900024414062,2400.4033365885416,2370.6099951171873,2344.7329931640625,1,0.0
2024-08-13,2461.0,2470.0,2456.5,2466.699951171875,2466.699951171875,510,2413.9050048828126,2405.039998372396,2373.48599609375,2347.8209936523435,1,0.0
2024-08-14,2468.0,2472.10009765625,2439.39990234375,2439.39990234375,2439.39990234375,274,2413.1349975585936,2408.9199951171877,2375.3419921875,2350.3909936523437,1,0.0
2024-08-15,2451.800048828125,2467.699951171875,2431.199951171875,2453.10009765625,2453.10009765625,285,2413.2,2412.029996744792,2377.893994140625,2353.340993652344,1,0.0
2024-08-16,2453.5,2508.0,2451.39990234375,2498.60009765625,2498.60009765625,197,2418.3550048828124,2415.7,2380.783994140625,2356.578994140625,1,0.0
2024-08-19,2508.5,2508.5,2487.199951171875,2501.800048828125,2501.800048828125,88,2423.845007324219,2420.586669921875,2383.413994140625,2359.840993652344,1,0.0
2024-08-20,2503.5,2527.300048828125,2500.699951171875,2511.300048828125,2511.300048828125,187,2429.1800048828127,2425.626668294271,2387.53599609375,2363.0479931640625,1,0.0
2024-08-21,2511.0,2515.39990234375,2503.89990234375,2508.39990234375,2508.39990234375,96,2433.9349975585938,2430.1666666666665,2391.5499951171873,2365.9579931640624,1,0.0
2024-08-22,2504.10009765625,2504.10009765625,2471.10009765625,2478.89990234375,2478.89990234375,210,2440.2849975585937,2432.296663411458,2394.9779931640624,2368.3819921875,1,0.0
2024-08-23,2486.5,2508.39990234375,2486.5,2508.39990234375,2508.39990234375,94,2446.7049926757813,2435.443326822917,2398.4259912109374,2370.8559912109376,1,0.0
2024-08-26,2509.89990234375,2523.10009765625,2509.10009765625,2517.699951171875,2517.699951171875,290,2453.724987792969,2438.6033284505206,2402.7759912109377,2373.0889916992187,1,0.0
2024-08-27,2515.199951171875,2523.10009765625,2506.89990234375,2516.0,2516.0,100,2459.2749877929687,2440.389998372396,2406.4679931640626,2375.3609912109373,1,0.0
2024-08-28,2501.0,2501.0,2501.0,2501.0,2501.0,2353,2462.9999877929686,2441.929996744792,2410.2399951171874,2377.113991699219,1,0.0
2024-08-29,2504.10009765625,2525.699951171875,2503.89990234375,2525.699951171875,2525.699951171875,3966,2467.5349853515627,2444.3933268229166,2414.14599609375,2379.053991699219,1,0.0
2024-08-30,2519.5,2525.39990234375,2493.800048828125,2493.800048828125,2493.800048828125,208,2470.939990234375,2447.6699951171877,2416.94599609375,2380.5569921875,1,0.0
2024-09-03,2501.60009765625,2501.800048828125,2476.300048828125,2489.89990234375,2489.89990234375,206,2475.349987792969,2450.9333251953126,2420.41599609375,2382.159990234375,1,0.0
2024-09-04,2490.89990234375,2493.39990234375,2483.5,2493.39990234375,2493.39990234375,470,2480.564978027344,2453.893318684896,2423.683994140625,2383.545988769531,1,0.0
2024-09-05,2493.699951171875,2513.300048828125,2493.39990234375,2511.39990234375,2511.39990234375,54,2486.609973144531,2457.1633138020834,2427.579990234375,2385.09798828125,1,0.0
2024-09-06,2510.300048828125,2517.89990234375,2483.699951171875,2493.5,2493.5,96,2490.1749755859373,2461.8833170572916,2431.4659912109373,2386.3749877929686,1,0.0
2024-09-09,2491.300048828125,2504.699951171875,2491.300048828125,2501.800048828125,2501.800048828125,96,2493.6599731445312,2465.943318684896,2435.0119921875,2387.4849877929687,1,0.0
2024-09-10,2512.300048828125,2512.300048828125,2512.300048828125,2512.300048828125,2512.300048828125,5,2496.15498046875,2470.443318684896,2438.703994140625,2388.8909887695313,1,0.0
2024-09-11,2525.800048828125,2525.800048828125,2502.300048828125,2512.10009765625,2512.10009765625,90,2498.4249877929688,2474.013321940104,2442.393994140625,2390.1889892578124,1,0.0
2024-09-12,2529.10009765625,2557.0,2523.39990234375,2551.199951171875,2551.199951171875,132,2504.014990234375,2478.169986979167,2446.9579931640624,2391.7169897460935,1,0.0
2024-09-13,2568.800048828125,2581.800048828125,2565.0,2581.300048828125,2581.300048828125,31,2510.4249877929688,2483.0466552734374,2451.3879931640627,2394.207990722656,1,0.0
